IT Security Activities,Staff Responsible,Strategy,Deliverables,Completed,Transition To,
Intrusion Prevention System (IPS),,Implement more effectively in Fortinet.  Need to review capability and understand how best to deploy,Develop plan to determine how best to implement IPS on the new firewalls,,,
,,,Implement plan and document standard,,,
,,,,,,
Data Loss Prevention (DLP),,Implement a project to understand how to use and implement in Fortinet.,Develop a plan to determine how best to implement DLP on the new firewalls,,,
,,,Implement plan and document standard,,,
,,,,,,
implement  Web Application Firewall ,,Learn and implement web application firewalling capability in the WAF modules within the  load balancers,Develop plan to implement Web Application Firewalls,,,
,,,Implement plan and document standard,,,
,,,,,,
,,,,,,
Facilitate preparations for the OCIO/Agency IT Security Compliance Audit,,Agency is required to have an outside IT Security Compliance Audit done every 3 years.  ,Review IT Security Audit prep material  ,,,
,,,Develop outline of audit material and obtain guidance/review from Agency Management Team,,,
,,,Review final audit material with Agency Management Team,,,
,,,"Schedule the audit , complete audit working papers, conduct the audit.",,,
,,,,,,
Security Awareness and Training,,,Complete Quarterly IT Security Briefings Report for Agency Mgmt,,,
,,,Complete Monthly IT Security Orientations for New Employees,,,
,,,Conduct Community of Interest IT Security Awareness Trainng for IT Staff,,,
,,,Push Mandatory IT Security Awareness Training be completed for Agency,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
